id,name,created_at,updated_at
1,Administrador,Tue Feb 04 2025 20:58:11 GMT-0500 (Colombia Standard Time),Fri May 02 2025 22:26:55 GMT-0500 (Colombia Standard Time)
2,Auditor,Tue Feb 04 2025 20:58:11 GMT-0500 (Colombia Standard Time),Wed Mar 26 2025 17:09:38 GMT-0500 (Colombia Standard Time)
3,Consultor,Tue Feb 04 2025 20:58:11 GMT-0500 (Colombia Standard Time),Wed Mar 26 2025 17:09:38 GMT-0500 (Colombia Standard Time)
4,Empresa,Tue Feb 04 2025 20:58:11 GMT-0500 (Colombia Standard Time),Wed Mar 26 2025 17:09:38 GMT-0500 (Colombia Standard Time)
5,Evaluador,Wed Mar 26 2025 17:34:52 GMT-0500 (Colombia Standard Time),Wed Mar 26 2025 17:34:52 GMT-0500 (Colombia Standard Time)
