id,name,created_at,updated_at
1,Micro,Tue Feb 04 2025 20:48:31 GMT-0500 (Colombia Standard Time),Thu May 22 2025 23:14:16 GMT-0500 (Colombia Standard Time)
2,Pequeña,Tue Feb 04 2025 20:48:32 GMT-0500 (Colombia Standard Time),Thu May 22 2025 23:14:16 GMT-0500 (Colombia Standard Time)
3,Mediana,Tue Feb 04 2025 20:48:32 GMT-0500 (Colombia Standard Time),Thu May 22 2025 23:14:16 GMT-0500 (Colombia Standard Time)
4,Grande,Tue Feb 04 2025 20:48:32 GMT-0500 (Colombia Standard Time),Thu May 22 2025 23:14:16 GMT-0500 (Colombia Standard Time)
5,Emprendimiento,Tue Feb 04 2025 20:48:32 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:48:32 GMT-0500 (Colombia Standard Time)
