id,name,created_at,updated_at
1,Masculino,Tue Feb 04 2025 20:42:36 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:42:36 GMT-0500 (Colombia Standard Time)
2,Femenino,Tue Feb 04 2025 20:42:36 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:42:36 GMT-0500 (Colombia Standard Time)
3,Prefiero no decir,Tue Feb 04 2025 20:42:36 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:42:36 GMT-0500 (Colombia Standard Time)
4,Otro,Tue Feb 04 2025 20:42:36 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:42:36 GMT-0500 (Colombia Standard Time)
